,First Name,Gender,Start Date,Last Login Time,Salary,Bonus %,Senior Management,Team
0,Katherine,Female,8/13/1996,12:21 AM,149908,18.912,False,Finance
1,Rose,Female,5/28/2015,8:40 AM,149903,5.63,False,Human Resources
2,Cynthia,Female,7/12/2006,8:55 AM,149684,7.864,False,Product
3,,Female,2/23/2005,9:50 PM,149654,1.825,,Sales
4,Kathy,Female,3/18/2000,7:26 PM,149563,16.991,True,Finance
5,Russell,,5/9/2009,11:59 AM,149456,3.533,False,Marketing
6,Andrea,Female,7/22/1999,9:25 AM,149105,13.707,True,Distribution
7,James,Male,1/15/1993,5:19 PM,148985,19.28,False,Legal
8,Clarence,Male,8/5/1989,6:11 PM,148941,11.517,False,Product
9,Maria,,6/19/1985,1:48 AM,148857,8.738,False,Legal
10,Alice,,4/23/1995,6:35 AM,148339,11.479,True,Finance
11,Charles,Male,9/3/1997,10:04 AM,148291,6.002,False,
12,Roy,Male,8/6/2006,7:52 AM,148225,1.841,False,Finance
13,Shawn,Male,9/23/2005,2:55 AM,148115,6.539,True,Finance
14,Bobby,Male,8/19/1996,1:16 AM,147842,16.158,True,
15,Marilyn,Female,4/4/1997,9:28 PM,147663,10.263,False,Human Resources
16,Sharon,Female,3/12/2002,6:32 AM,147635,14.693,False,Human Resources
17,Harold,Male,4/16/2010,5:13 AM,147417,11.626,True,Business Development
18,Ruby,Female,5/1/1999,3:36 AM,147362,7.851,True,Engineering
19,,,9/2/1988,12:49 PM,147309,1.702,,Distribution
20,Marilyn,Female,12/17/1982,12:10 PM,147183,8.748,False,Business Development
21,Lois,Female,11/9/2011,7:06 AM,147183,9.999,True,Client Services
22,Shirley,Female,6/20/2001,10:39 PM,147113,16.135,False,Legal
23,John,Male,12/23/1982,10:35 PM,146907,11.738,False,Engineering
24,Scott,Male,11/17/2012,2:47 PM,146812,1.965,True,Marketing
25,Carlos,Male,1/4/1995,7:02 AM,146670,10.763,False,Human Resources
26,Willie,Male,2/17/1998,8:20 PM,146651,1.451,True,Engineering
